"open file [us]","Read input [us]","create kernel [us]","run entire kernel [us]","read output [us]","write file [us]","execution time [us]","Writing to string buffer [ns]","Writing to return value [ns]","Lexer [ns]","Reading from token buffer [ns]","Reading from data buffer [ns]","Reading from return value [ns]"
34,42,795789,2095,0,4380,802343,115300,400,69600,70100,68400,500
36,54,826128,1935,0,4608,832762,141400,1200,76200,100700,116400,300
48,51,862324,1589,0,4319,868334,124400,800,53200,83900,65700,300
37,47,790329,2234,0,4934,797583,134500,700,55200,147700,105600,1400
34,42,794835,1874,0,4280,801068,149000,400,74500,62400,75900,200
47,52,859521,1844,0,4571,866037,119300,400,89000,106700,82500,800
39,50,825355,1690,0,4736,831872,138100,300,48700,60900,68300,300
34,42,801901,1632,0,5090,808702,100700,400,59600,54700,71500,300
44,60,828718,1817,0,4092,834733,97000,600,47100,55700,75200,300
35,43,795038,1573,0,4226,800916,174500,300,53100,56500,59800,300
75,85,805034,1683,0,4477,811356,110600,600,62400,65300,79900,600
55,71,833184,1531,0,4361,839204,99100,400,49000,58000,55200,300
65,95,853713,1931,0,4479,860285,105600,2200,71000,83300,77400,800
41,55,789716,1576,0,4352,795743,115900,300,53900,54800,59400,200
36,49,837454,1873,0,4259,843674,106400,400,74400,76700,70500,2000
34,45,694183,1725,0,4034,700024,102000,400,44900,54400,50100,200
47,68,796410,1980,0,4225,802731,129700,1800,50000,86200,86400,1000
36,57,770375,1569,0,4561,776600,100400,400,51200,60200,62100,200
37,46,782951,1874,0,4484,789395,196700,800,56000,134800,62800,2300
36,42,765430,1534,0,4225,771269,104200,300,50000,56100,56900,200
