"open file [us]","Read input [us]","create kernel [us]","run entire kernel [us]","read output [us]","write file [us]","execution time [us]","Writing to string buffer [ns]","Writing to return value [ns]","Lexer [ns]","Reading from token buffer [ns]","Reading from data buffer [ns]","Reading from return value [ns]"
52,170,307875,1544,0,3046,312689,75600,700,49400,300,300,0
68,98,316968,592,0,2363,320090,104900,200,25500,100,100,0
77,121,299853,545,0,2438,303037,81600,200,31100,100,0,0
45,105,320872,593,0,2401,324018,96400,200,23800,100,100,0
65,107,291323,1081,1,4379,296958,201300,400,38800,300,200,0
48,84,292315,515,0,2333,295297,65300,200,21700,100,100,0
48,143,283129,529,0,2408,286261,107400,200,25100,100,100,0
53,124,324684,489,0,2357,327709,84500,200,24900,100,100,0
56,74,310375,520,0,3242,314268,83400,200,28800,0,100,0
62,103,302052,527,0,2420,305166,72300,300,21900,100,100,0
52,115,302681,526,0,2339,305715,91400,100,23400,100,100,0
75,108,292608,509,0,3081,296383,78500,200,23900,100,0,0
43,54,284363,651,0,3809,288923,64900,300,41300,200,100,0
103,143,282046,526,0,2463,285283,66800,200,33100,100,100,0
46,80,314855,546,0,2368,317898,79000,200,23800,100,200,0
34,84,279781,721,6,2424,283052,122600,200,24600,100,100,0
45,77,286377,554,0,2347,289402,63500,200,23200,100,100,0
49,90,298445,618,1,2392,301596,80200,200,25900,100,100,0
55,154,273573,600,0,2779,277165,82100,300,29200,200,200,0
63,159,301374,586,0,2363,304548,121800,100,23600,100,0,0
