"open file [us]", "Read input [us]", "create kernel [us]", "run entire kernel [us]", "read output [us]", "write file [us]", "execution time [us]", "Writing to string buffer [ns]", "Writing to return value [ns]", "Lexer [ns]", "Reading from token buffer [ns]", "Reading from data buffer [ns]", "Reading from return value [ns]"
55,137,2399251,5848,0,2869,2408162,121400,700,291700,91600,200800,1000
86,202,322628,765,0,2491,326174,85300,200,26900,52200,60400,200
79,122,301388,902,5,3373,305871,91200,400,28600,49900,77200,500
86,87,336886,765,1,2399,340226,113400,200,56800,57700,40800,200
46,87,310696,1236,24,3912,316004,160300,500,40700,62900,80300,4800
43,83,298984,863,0,2505,302480,77800,400,25600,56800,47000,100
80,118,281977,752,0,2448,285377,85600,400,43500,51300,62500,1100
55,92,321841,802,0,2512,325306,81000,500,24900,36000,35100,100
57,146,293522,823,0,2893,297443,68600,400,25200,58600,116300,200
151,112,299673,635,0,2351,302925,59800,200,23500,34600,59200,200
83,102,295353,644,0,2325,298508,60200,300,26300,34900,41800,100
84,72,283069,629,0,2381,286238,65900,700,23300,41900,39700,100
37,116,297861,799,0,2847,301662,68200,500,31200,45600,45800,300
84,255,330749,764,0,2707,334561,74400,300,54500,43300,43800,100
31,54,293026,668,0,3414,297195,57700,200,23000,40100,33000,200
62,103,290108,667,0,2823,293766,75100,300,24700,33700,33500,200
68,136,294403,742,0,2496,297846,79800,200,24300,53100,87900,100
55,135,331755,618,0,2447,335013,69500,300,23800,35500,34800,100
59,127,289419,670,0,2376,292652,79200,300,26000,39400,46300,200
75,108,309295,1069,0,3932,314480,137900,800,32400,49600,72700,500
