"open file [us]","Read input [us]","create kernel [us]","run entire kernel [us]","read output [us]","write file [us]","execution time [us]","Writing to string buffer [ns]","Writing to return value [ns]","Lexer [ns]","Reading from token buffer [ns]","Reading from data buffer [ns]","Reading from return value [ns]"
61,181,220667,1870,0,3407,226188,33088,5120,753664,18336,16096,1152
46,128,161350,2253,0,2461,166239,33760,1024,759808,20416,15552,1152
69,110,146447,1997,0,3465,152090,37536,1024,741376,15776,15808,1152
44,150,126181,2140,0,3608,132126,43040,1024,736256,18624,16992,1120
80,200,148138,2735,4,2618,153778,51712,1024,826368,20768,19104,1152
66,116,135071,2225,0,2351,139831,40864,1024,738112,15552,17184,1120
28,127,148725,2458,0,3286,154627,45024,1024,740352,16224,16128,1152
46,87,123998,2470,0,2526,129130,36704,1024,735232,16000,16128,1152
66,178,150998,2550,0,3952,157746,61696,1024,759808,15456,17440,1152
62,93,128760,2317,0,3964,135199,39712,1024,741376,15776,17024,1152
51,126,179313,2318,0,3540,185350,42176,1024,764928,24544,16992,1376
35,97,150102,2503,0,5179,157919,36288,1024,790528,16608,17184,13728
36,89,148257,1992,0,2669,153046,36000,1024,742400,15968,16000,1120
74,134,139581,2659,0,2690,145141,37152,1024,837632,19584,18656,1152
46,105,172351,2109,0,2729,177342,35520,1024,770048,16192,15296,1152
28,54,138620,2398,1,2545,143647,49216,1024,758752,23392,22464,1280
40,122,151029,2217,0,2582,155992,34400,1024,754688,15872,16576,1120
48,56,141030,2020,0,2555,145711,40224,1024,735232,16288,16896,1376
45,121,148475,2238,6,2567,153454,34656,1024,743424,16000,19744,1120
38,72,141019,2506,0,2501,146137,52992,1024,746496,16768,15904,1152
