"open file [us]","Read input [us]","create kernel [us]","run entire kernel [us]","read output [us]","write file [us]","execution time [us]","Writing to string buffer [ns]","Writing to return value [ns]","Lexer [ns]","Reading from token buffer [ns]","Reading from data buffer [ns]","Reading from return value [ns]"
47,63,131735,3015,1,3872,138735,64960,992,897728,27200,27456,768
43,61,137363,2526,0,4296,144291,32992,0,883552,14144,14528,768
42,62,116580,2554,0,3943,123184,29632,800,883712,14464,13280,736
41,68,117837,2443,0,3581,123973,34624,704,884640,19552,17472,704
38,54,118214,2336,0,3561,124205,31616,1024,883712,13472,15296,704
37,49,113760,2527,0,3906,120280,33472,672,883584,14496,12768,736
43,59,117802,2360,0,3723,123989,29632,512,883712,14336,13312,832
39,49,116351,2425,0,3748,122614,36128,896,883584,17856,13760,768
37,45,115444,2453,0,3734,121715,37504,0,883456,14496,13888,736
43,58,114120,2404,0,3750,120377,27712,0,883712,14240,15136,736
39,46,120120,2463,0,3949,126619,25504,512,883712,19328,16160,736
46,52,122628,2629,1,3903,129262,27136,0,883616,18336,18400,736
65,88,133802,2625,0,4527,141110,36640,1024,883712,14080,16192,736
36,48,111009,2736,0,3669,117500,43776,768,884704,22400,20384,736
40,54,116499,2470,0,3744,122810,27392,1024,883712,13280,14368,864
58,90,136305,2586,0,4134,143174,38208,960,883680,15136,18016,704
69,92,120579,2526,0,3848,127115,38176,576,882688,13440,13056,736
41,61,119334,2513,0,3662,125613,33728,512,883328,14656,14144,704
38,50,118352,2462,0,3850,124754,28576,896,883712,14240,12992,704
38,48,113658,2394,0,3677,119817,28064,576,883712,18688,16672,736
